t,r,m,j,value
1820,EU27,Zn,construction,0.7168765052773832
1820,EU27,Zn,computers_and_precision_instruments,0.5509924905959663
1820,EU27,Zn,electrical_equipment,1.2609480641418482
1820,EU27,Zn,machinery_and_equipment,8.242060995252006
1820,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,1.8814229310595145
1820,EU27,Zn,other_transport_equipment,0.5201727279796854
1820,EU27,Zn,products_nec,2.704594984465709
1820,EU27,Ni,construction,0.06759687751977085
1820,EU27,Ni,computers_and_precision_instruments,0.1603823229118666
1820,EU27,Ni,electrical_equipment,0.2871424588238975
1820,EU27,Ni,machinery_and_equipment,2.927954716492926
1820,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.5873426852888106
1820,EU27,Ni,other_transport_equipment,0.11951575151219748
1820,EU27,Ni,products_nec,0.853102854117199
1820,EU27,Sn,construction,0.11083846928142545
1820,EU27,Sn,computers_and_precision_instruments,0.08612079964525625
1820,EU27,Sn,electrical_equipment,0.19676414982862933
1820,EU27,Sn,machinery_and_equipment,1.8072622841592652
1820,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.3753660028305546
1820,EU27,Sn,other_transport_equipment,0.09375744609505038
1820,EU27,Sn,products_nec,0.5326618048021374
1820,CHN,Zn,construction,0.01145740948143923
1820,CHN,Zn,computers_and_precision_instruments,0.18288229025838998
1820,CHN,Zn,electrical_equipment,0.06000006871526855
1820,CHN,Zn,machinery_and_equipment,0.039996276078317926
1820,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.05834512724149461
1820,CHN,Zn,other_transport_equipment,0.006200300311077888
1820,CHN,Zn,products_nec,0.08424744234770772
1820,CHN,Ni,construction,0.000109294694619964
1820,CHN,Ni,computers_and_precision_instruments,0.004445716122204204
1820,CHN,Ni,electrical_equipment,0.000963343888829833
1820,CHN,Ni,machinery_and_equipment,0.0006250771926102971
1820,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0014700506558280413
1820,CHN,Ni,other_transport_equipment,4.4632805801948004e-05
1820,CHN,Ni,products_nec,0.0021395513067723622
1820,CHN,Sn,construction,0.032316734102169536
1820,CHN,Sn,computers_and_precision_instruments,0.10407337447262426
1820,CHN,Sn,electrical_equipment,0.07855922461984922
1820,CHN,Sn,machinery_and_equipment,0.053246443322866766
1820,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.039225802207832686
1820,CHN,Sn,other_transport_equipment,0.010848673552210131
1820,CHN,Sn,products_nec,0.04252691812612962
1820,ROW,Zn,construction,0.4077520012409246
1820,ROW,Zn,computers_and_precision_instruments,1.965198476824746
1820,ROW,Zn,electrical_equipment,1.4406235019645428
1820,ROW,Zn,machinery_and_equipment,1.8445175954134212
1820,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,1.4396274660206672
1820,ROW,Zn,other_transport_equipment,0.3439932425825598
1820,ROW,Zn,products_nec,5.152991471623923
1820,ROW,Ni,construction,0.0
1820,ROW,Ni,computers_and_precision_instruments,0.0
1820,ROW,Ni,electrical_equipment,0.0
1820,ROW,Ni,machinery_and_equipment,0.0
1820,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1820,ROW,Ni,other_transport_equipment,0.0
1820,ROW,Ni,products_nec,0.0
1820,ROW,Sn,construction,0.11480238998887202
1820,ROW,Sn,computers_and_precision_instruments,0.2583859668891469
1820,ROW,Sn,electrical_equipment,0.21632120322472193
1820,ROW,Sn,machinery_and_equipment,0.4571368222143737
1820,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.26874936258174265
1820,ROW,Sn,other_transport_equipment,0.07847024398602549
1820,ROW,Sn,products_nec,1.0477652684264764
1821,EU27,Zn,construction,0.7168765052773832
1821,EU27,Zn,computers_and_precision_instruments,0.5509924905959663
1821,EU27,Zn,electrical_equipment,1.2609480641418482
1821,EU27,Zn,machinery_and_equipment,8.242060995252006
1821,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,1.8814229310595145
1821,EU27,Zn,other_transport_equipment,0.5201727279796854
1821,EU27,Zn,products_nec,2.704594984465709
1821,EU27,Ni,construction,0.06759687751977085
1821,EU27,Ni,computers_and_precision_instruments,0.1603823229118666
1821,EU27,Ni,electrical_equipment,0.2871424588238975
1821,EU27,Ni,machinery_and_equipment,2.927954716492926
1821,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.5873426852888106
1821,EU27,Ni,other_transport_equipment,0.11951575151219748
1821,EU27,Ni,products_nec,0.853102854117199
1821,EU27,Sn,construction,0.11083846928142545
1821,EU27,Sn,computers_and_precision_instruments,0.08612079964525625
1821,EU27,Sn,electrical_equipment,0.19676414982862933
1821,EU27,Sn,machinery_and_equipment,1.8072622841592652
1821,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.3753660028305546
1821,EU27,Sn,other_transport_equipment,0.09375744609505038
1821,EU27,Sn,products_nec,0.5326618048021374
1821,CHN,Zn,construction,0.01145740948143923
1821,CHN,Zn,computers_and_precision_instruments,0.18288229025838998
1821,CHN,Zn,electrical_equipment,0.06000006871526855
1821,CHN,Zn,machinery_and_equipment,0.039996276078317926
1821,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.05834512724149461
1821,CHN,Zn,other_transport_equipment,0.006200300311077888
1821,CHN,Zn,products_nec,0.08424744234770772
1821,CHN,Ni,construction,0.000109294694619964
1821,CHN,Ni,computers_and_precision_instruments,0.004445716122204204
1821,CHN,Ni,electrical_equipment,0.000963343888829833
1821,CHN,Ni,machinery_and_equipment,0.0006250771926102971
1821,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0014700506558280413
1821,CHN,Ni,other_transport_equipment,4.4632805801948004e-05
1821,CHN,Ni,products_nec,0.0021395513067723622
1821,CHN,Sn,construction,0.032316734102169536
1821,CHN,Sn,computers_and_precision_instruments,0.10407337447262426
1821,CHN,Sn,electrical_equipment,0.07855922461984922
1821,CHN,Sn,machinery_and_equipment,0.053246443322866766
1821,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.039225802207832686
1821,CHN,Sn,other_transport_equipment,0.010848673552210131
1821,CHN,Sn,products_nec,0.04252691812612962
1821,ROW,Zn,construction,0.4077520012409246
1821,ROW,Zn,computers_and_precision_instruments,1.965198476824746
1821,ROW,Zn,electrical_equipment,1.4406235019645428
1821,ROW,Zn,machinery_and_equipment,1.8445175954134212
1821,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,1.4396274660206672
1821,ROW,Zn,other_transport_equipment,0.3439932425825598
1821,ROW,Zn,products_nec,5.152991471623923
1821,ROW,Ni,construction,0.0
1821,ROW,Ni,computers_and_precision_instruments,0.0
1821,ROW,Ni,electrical_equipment,0.0
1821,ROW,Ni,machinery_and_equipment,0.0
1821,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1821,ROW,Ni,other_transport_equipment,0.0
1821,ROW,Ni,products_nec,0.0
1821,ROW,Sn,construction,0.11480238998887202
1821,ROW,Sn,computers_and_precision_instruments,0.2583859668891469
1821,ROW,Sn,electrical_equipment,0.21632120322472193
1821,ROW,Sn,machinery_and_equipment,0.4571368222143737
1821,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.26874936258174265
1821,ROW,Sn,other_transport_equipment,0.07847024398602549
1821,ROW,Sn,products_nec,1.0477652684264764
1822,EU27,Zn,construction,0.7168765052773832
1822,EU27,Zn,computers_and_precision_instruments,0.5509924905959663
1822,EU27,Zn,electrical_equipment,1.2609480641418482
1822,EU27,Zn,machinery_and_equipment,8.242060995252006
1822,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,1.8814229310595145
1822,EU27,Zn,other_transport_equipment,0.5201727279796854
1822,EU27,Zn,products_nec,2.704594984465709
1822,EU27,Ni,construction,0.06759687751977085
1822,EU27,Ni,computers_and_precision_instruments,0.1603823229118666
1822,EU27,Ni,electrical_equipment,0.2871424588238975
1822,EU27,Ni,machinery_and_equipment,2.927954716492926
1822,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.5873426852888106
1822,EU27,Ni,other_transport_equipment,0.11951575151219748
1822,EU27,Ni,products_nec,0.853102854117199
1822,EU27,Sn,construction,0.11083846928142545
1822,EU27,Sn,computers_and_precision_instruments,0.08612079964525625
1822,EU27,Sn,electrical_equipment,0.19676414982862933
1822,EU27,Sn,machinery_and_equipment,1.8072622841592652
1822,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.3753660028305546
1822,EU27,Sn,other_transport_equipment,0.09375744609505038
1822,EU27,Sn,products_nec,0.5326618048021374
1822,CHN,Zn,construction,0.01145740948143923
1822,CHN,Zn,computers_and_precision_instruments,0.18288229025838998
1822,CHN,Zn,electrical_equipment,0.06000006871526855
1822,CHN,Zn,machinery_and_equipment,0.039996276078317926
1822,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.05834512724149461
1822,CHN,Zn,other_transport_equipment,0.006200300311077888
1822,CHN,Zn,products_nec,0.08424744234770772
1822,CHN,Ni,construction,0.000109294694619964
1822,CHN,Ni,computers_and_precision_instruments,0.004445716122204204
1822,CHN,Ni,electrical_equipment,0.000963343888829833
1822,CHN,Ni,machinery_and_equipment,0.0006250771926102971
1822,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0014700506558280413
1822,CHN,Ni,other_transport_equipment,4.4632805801948004e-05
1822,CHN,Ni,products_nec,0.0021395513067723622
1822,CHN,Sn,construction,0.032316734102169536
1822,CHN,Sn,computers_and_precision_instruments,0.10407337447262426
1822,CHN,Sn,electrical_equipment,0.07855922461984922
1822,CHN,Sn,machinery_and_equipment,0.053246443322866766
1822,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.039225802207832686
1822,CHN,Sn,other_transport_equipment,0.010848673552210131
1822,CHN,Sn,products_nec,0.04252691812612962
1822,ROW,Zn,construction,0.4077520012409246
1822,ROW,Zn,computers_and_precision_instruments,1.965198476824746
1822,ROW,Zn,electrical_equipment,1.4406235019645428
1822,ROW,Zn,machinery_and_equipment,1.8445175954134212
1822,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,1.4396274660206672
1822,ROW,Zn,other_transport_equipment,0.3439932425825598
1822,ROW,Zn,products_nec,5.152991471623923
1822,ROW,Ni,construction,0.0
1822,ROW,Ni,computers_and_precision_instruments,0.0
1822,ROW,Ni,electrical_equipment,0.0
1822,ROW,Ni,machinery_and_equipment,0.0
1822,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1822,ROW,Ni,other_transport_equipment,0.0
1822,ROW,Ni,products_nec,0.0
1822,ROW,Sn,construction,0.11480238998887202
1822,ROW,Sn,computers_and_precision_instruments,0.2583859668891469
1822,ROW,Sn,electrical_equipment,0.21632120322472193
1822,ROW,Sn,machinery_and_equipment,0.4571368222143737
1822,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.26874936258174265
1822,ROW,Sn,other_transport_equipment,0.07847024398602549
1822,ROW,Sn,products_nec,1.0477652684264764
1823,EU27,Zn,construction,0.7168765052773832
1823,EU27,Zn,computers_and_precision_instruments,0.5509924905959663
1823,EU27,Zn,electrical_equipment,1.2609480641418482
1823,EU27,Zn,machinery_and_equipment,8.242060995252006
1823,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,1.8814229310595145
1823,EU27,Zn,other_transport_equipment,0.5201727279796854
1823,EU27,Zn,products_nec,2.704594984465709
1823,EU27,Ni,construction,0.06759687751977085
1823,EU27,Ni,computers_and_precision_instruments,0.1603823229118666
1823,EU27,Ni,electrical_equipment,0.2871424588238975
1823,EU27,Ni,machinery_and_equipment,2.927954716492926
1823,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.5873426852888106
1823,EU27,Ni,other_transport_equipment,0.11951575151219748
1823,EU27,Ni,products_nec,0.853102854117199
1823,EU27,Sn,construction,0.11083846928142545
1823,EU27,Sn,computers_and_precision_instruments,0.08612079964525625
1823,EU27,Sn,electrical_equipment,0.19676414982862933
1823,EU27,Sn,machinery_and_equipment,1.8072622841592652
1823,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.3753660028305546
1823,EU27,Sn,other_transport_equipment,0.09375744609505038
1823,EU27,Sn,products_nec,0.5326618048021374
1823,CHN,Zn,construction,0.01145740948143923
1823,CHN,Zn,computers_and_precision_instruments,0.18288229025838998
1823,CHN,Zn,electrical_equipment,0.06000006871526855
1823,CHN,Zn,machinery_and_equipment,0.039996276078317926
1823,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.05834512724149461
1823,CHN,Zn,other_transport_equipment,0.006200300311077888
1823,CHN,Zn,products_nec,0.08424744234770772
1823,CHN,Ni,construction,0.000109294694619964
1823,CHN,Ni,computers_and_precision_instruments,0.004445716122204204
1823,CHN,Ni,electrical_equipment,0.000963343888829833
1823,CHN,Ni,machinery_and_equipment,0.0006250771926102971
1823,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0014700506558280413
1823,CHN,Ni,other_transport_equipment,4.4632805801948004e-05
1823,CHN,Ni,products_nec,0.0021395513067723622
1823,CHN,Sn,construction,0.032316734102169536
1823,CHN,Sn,computers_and_precision_instruments,0.10407337447262426
1823,CHN,Sn,electrical_equipment,0.07855922461984922
1823,CHN,Sn,machinery_and_equipment,0.053246443322866766
1823,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.039225802207832686
1823,CHN,Sn,other_transport_equipment,0.010848673552210131
1823,CHN,Sn,products_nec,0.04252691812612962
1823,ROW,Zn,construction,0.4077520012409246
1823,ROW,Zn,computers_and_precision_instruments,1.965198476824746
1823,ROW,Zn,electrical_equipment,1.4406235019645428
1823,ROW,Zn,machinery_and_equipment,1.8445175954134212
1823,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,1.4396274660206672
1823,ROW,Zn,other_transport_equipment,0.3439932425825598
1823,ROW,Zn,products_nec,5.152991471623923
1823,ROW,Ni,construction,0.0
1823,ROW,Ni,computers_and_precision_instruments,0.0
1823,ROW,Ni,electrical_equipment,0.0
1823,ROW,Ni,machinery_and_equipment,0.0
1823,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1823,ROW,Ni,other_transport_equipment,0.0
1823,ROW,Ni,products_nec,0.0
1823,ROW,Sn,construction,0.11480238998887202
1823,ROW,Sn,computers_and_precision_instruments,0.2583859668891469
1823,ROW,Sn,electrical_equipment,0.21632120322472193
1823,ROW,Sn,machinery_and_equipment,0.4571368222143737
1823,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.26874936258174265
1823,ROW,Sn,other_transport_equipment,0.07847024398602549
1823,ROW,Sn,products_nec,1.0477652684264764
1824,EU27,Zn,construction,0.7168765052773832
1824,EU27,Zn,computers_and_precision_instruments,0.5509924905959663
1824,EU27,Zn,electrical_equipment,1.2609480641418482
1824,EU27,Zn,machinery_and_equipment,8.242060995252006
1824,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,1.8814229310595145
1824,EU27,Zn,other_transport_equipment,0.5201727279796854
1824,EU27,Zn,products_nec,2.704594984465709
1824,EU27,Ni,construction,0.06759687751977085
1824,EU27,Ni,computers_and_precision_instruments,0.1603823229118666
1824,EU27,Ni,electrical_equipment,0.2871424588238975
1824,EU27,Ni,machinery_and_equipment,2.927954716492926
1824,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.5873426852888106
1824,EU27,Ni,other_transport_equipment,0.11951575151219748
1824,EU27,Ni,products_nec,0.853102854117199
1824,EU27,Sn,construction,0.11083846928142545
1824,EU27,Sn,computers_and_precision_instruments,0.08612079964525625
1824,EU27,Sn,electrical_equipment,0.19676414982862933
1824,EU27,Sn,machinery_and_equipment,1.8072622841592652
1824,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.3753660028305546
1824,EU27,Sn,other_transport_equipment,0.09375744609505038
1824,EU27,Sn,products_nec,0.5326618048021374
1824,CHN,Zn,construction,0.01145740948143923
1824,CHN,Zn,computers_and_precision_instruments,0.18288229025838998
1824,CHN,Zn,electrical_equipment,0.06000006871526855
1824,CHN,Zn,machinery_and_equipment,0.039996276078317926
1824,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.05834512724149461
1824,CHN,Zn,other_transport_equipment,0.006200300311077888
1824,CHN,Zn,products_nec,0.08424744234770772
1824,CHN,Ni,construction,0.000109294694619964
1824,CHN,Ni,computers_and_precision_instruments,0.004445716122204204
1824,CHN,Ni,electrical_equipment,0.000963343888829833
1824,CHN,Ni,machinery_and_equipment,0.0006250771926102971
1824,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0014700506558280413
1824,CHN,Ni,other_transport_equipment,4.4632805801948004e-05
1824,CHN,Ni,products_nec,0.0021395513067723622
1824,CHN,Sn,construction,0.032316734102169536
1824,CHN,Sn,computers_and_precision_instruments,0.10407337447262426
1824,CHN,Sn,electrical_equipment,0.07855922461984922
1824,CHN,Sn,machinery_and_equipment,0.053246443322866766
1824,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.039225802207832686
1824,CHN,Sn,other_transport_equipment,0.010848673552210131
1824,CHN,Sn,products_nec,0.04252691812612962
1824,ROW,Zn,construction,0.4077520012409246
1824,ROW,Zn,computers_and_precision_instruments,1.965198476824746
1824,ROW,Zn,electrical_equipment,1.4406235019645428
1824,ROW,Zn,machinery_and_equipment,1.8445175954134212
1824,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,1.4396274660206672
1824,ROW,Zn,other_transport_equipment,0.3439932425825598
1824,ROW,Zn,products_nec,5.152991471623923
1824,ROW,Ni,construction,0.0
1824,ROW,Ni,computers_and_precision_instruments,0.0
1824,ROW,Ni,electrical_equipment,0.0
1824,ROW,Ni,machinery_and_equipment,0.0
1824,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1824,ROW,Ni,other_transport_equipment,0.0
1824,ROW,Ni,products_nec,0.0
1824,ROW,Sn,construction,0.11480238998887202
1824,ROW,Sn,computers_and_precision_instruments,0.2583859668891469
1824,ROW,Sn,electrical_equipment,0.21632120322472193
1824,ROW,Sn,machinery_and_equipment,0.4571368222143737
1824,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.26874936258174265
1824,ROW,Sn,other_transport_equipment,0.07847024398602549
1824,ROW,Sn,products_nec,1.0477652684264764
1825,EU27,Zn,construction,0.7168765052773832
1825,EU27,Zn,computers_and_precision_instruments,0.5509924905959663
1825,EU27,Zn,electrical_equipment,1.2609480641418482
1825,EU27,Zn,machinery_and_equipment,8.242060995252006
1825,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,1.8814229310595145
1825,EU27,Zn,other_transport_equipment,0.5201727279796854
1825,EU27,Zn,products_nec,2.704594984465709
1825,EU27,Ni,construction,0.06759687751977085
1825,EU27,Ni,computers_and_precision_instruments,0.1603823229118666
1825,EU27,Ni,electrical_equipment,0.2871424588238975
1825,EU27,Ni,machinery_and_equipment,2.927954716492926
1825,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.5873426852888106
1825,EU27,Ni,other_transport_equipment,0.11951575151219748
1825,EU27,Ni,products_nec,0.853102854117199
1825,EU27,Sn,construction,0.11083846928142545
1825,EU27,Sn,computers_and_precision_instruments,0.08612079964525625
1825,EU27,Sn,electrical_equipment,0.19676414982862933
1825,EU27,Sn,machinery_and_equipment,1.8072622841592652
1825,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.3753660028305546
1825,EU27,Sn,other_transport_equipment,0.09375744609505038
1825,EU27,Sn,products_nec,0.5326618048021374
1825,CHN,Zn,construction,0.01145740948143923
1825,CHN,Zn,computers_and_precision_instruments,0.18288229025838998
1825,CHN,Zn,electrical_equipment,0.06000006871526855
1825,CHN,Zn,machinery_and_equipment,0.039996276078317926
1825,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.05834512724149461
1825,CHN,Zn,other_transport_equipment,0.006200300311077888
1825,CHN,Zn,products_nec,0.08424744234770772
1825,CHN,Ni,construction,0.000109294694619964
1825,CHN,Ni,computers_and_precision_instruments,0.004445716122204204
1825,CHN,Ni,electrical_equipment,0.000963343888829833
1825,CHN,Ni,machinery_and_equipment,0.0006250771926102971
1825,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0014700506558280413
1825,CHN,Ni,other_transport_equipment,4.4632805801948004e-05
1825,CHN,Ni,products_nec,0.0021395513067723622
1825,CHN,Sn,construction,0.032316734102169536
1825,CHN,Sn,computers_and_precision_instruments,0.10407337447262426
1825,CHN,Sn,electrical_equipment,0.07855922461984922
1825,CHN,Sn,machinery_and_equipment,0.053246443322866766
1825,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.039225802207832686
1825,CHN,Sn,other_transport_equipment,0.010848673552210131
1825,CHN,Sn,products_nec,0.04252691812612962
1825,ROW,Zn,construction,0.4077520012409246
1825,ROW,Zn,computers_and_precision_instruments,1.965198476824746
1825,ROW,Zn,electrical_equipment,1.4406235019645428
1825,ROW,Zn,machinery_and_equipment,1.8445175954134212
1825,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,1.4396274660206672
1825,ROW,Zn,other_transport_equipment,0.3439932425825598
1825,ROW,Zn,products_nec,5.152991471623923
1825,ROW,Ni,construction,0.0
1825,ROW,Ni,computers_and_precision_instruments,0.0
1825,ROW,Ni,electrical_equipment,0.0
1825,ROW,Ni,machinery_and_equipment,0.0
1825,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1825,ROW,Ni,other_transport_equipment,0.0
1825,ROW,Ni,products_nec,0.0
1825,ROW,Sn,construction,0.11480238998887202
1825,ROW,Sn,computers_and_precision_instruments,0.2583859668891469
1825,ROW,Sn,electrical_equipment,0.21632120322472193
1825,ROW,Sn,machinery_and_equipment,0.4571368222143737
1825,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.26874936258174265
1825,ROW,Sn,other_transport_equipment,0.07847024398602549
1825,ROW,Sn,products_nec,1.0477652684264764
1826,EU27,Zn,construction,0.7168765052773832
1826,EU27,Zn,computers_and_precision_instruments,0.5509924905959663
1826,EU27,Zn,electrical_equipment,1.2609480641418482
1826,EU27,Zn,machinery_and_equipment,8.242060995252006
1826,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,1.8814229310595145
1826,EU27,Zn,other_transport_equipment,0.5201727279796854
1826,EU27,Zn,products_nec,2.704594984465709
1826,EU27,Ni,construction,0.06759687751977085
1826,EU27,Ni,computers_and_precision_instruments,0.1603823229118666
1826,EU27,Ni,electrical_equipment,0.2871424588238975
1826,EU27,Ni,machinery_and_equipment,2.927954716492926
1826,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.5873426852888106
1826,EU27,Ni,other_transport_equipment,0.11951575151219748
1826,EU27,Ni,products_nec,0.853102854117199
1826,EU27,Sn,construction,0.11083846928142545
1826,EU27,Sn,computers_and_precision_instruments,0.08612079964525625
1826,EU27,Sn,electrical_equipment,0.19676414982862933
1826,EU27,Sn,machinery_and_equipment,1.8072622841592652
1826,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.3753660028305546
1826,EU27,Sn,other_transport_equipment,0.09375744609505038
1826,EU27,Sn,products_nec,0.5326618048021374
1826,CHN,Zn,construction,0.01145740948143923
1826,CHN,Zn,computers_and_precision_instruments,0.18288229025838998
1826,CHN,Zn,electrical_equipment,0.06000006871526855
1826,CHN,Zn,machinery_and_equipment,0.039996276078317926
1826,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.05834512724149461
1826,CHN,Zn,other_transport_equipment,0.006200300311077888
1826,CHN,Zn,products_nec,0.08424744234770772
1826,CHN,Ni,construction,0.000109294694619964
1826,CHN,Ni,computers_and_precision_instruments,0.004445716122204204
1826,CHN,Ni,electrical_equipment,0.000963343888829833
1826,CHN,Ni,machinery_and_equipment,0.0006250771926102971
1826,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0014700506558280413
1826,CHN,Ni,other_transport_equipment,4.4632805801948004e-05
1826,CHN,Ni,products_nec,0.0021395513067723622
1826,CHN,Sn,construction,0.032316734102169536
1826,CHN,Sn,computers_and_precision_instruments,0.10407337447262426
1826,CHN,Sn,electrical_equipment,0.07855922461984922
1826,CHN,Sn,machinery_and_equipment,0.053246443322866766
1826,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.039225802207832686
1826,CHN,Sn,other_transport_equipment,0.010848673552210131
1826,CHN,Sn,products_nec,0.04252691812612962
1826,ROW,Zn,construction,0.4077520012409246
1826,ROW,Zn,computers_and_precision_instruments,1.965198476824746
1826,ROW,Zn,electrical_equipment,1.4406235019645428
1826,ROW,Zn,machinery_and_equipment,1.8445175954134212
1826,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,1.4396274660206672
1826,ROW,Zn,other_transport_equipment,0.3439932425825598
1826,ROW,Zn,products_nec,5.152991471623923
1826,ROW,Ni,construction,0.0
1826,ROW,Ni,computers_and_precision_instruments,0.0
1826,ROW,Ni,electrical_equipment,0.0
1826,ROW,Ni,machinery_and_equipment,0.0
1826,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1826,ROW,Ni,other_transport_equipment,0.0
1826,ROW,Ni,products_nec,0.0
1826,ROW,Sn,construction,0.11480238998887202
1826,ROW,Sn,computers_and_precision_instruments,0.2583859668891469
1826,ROW,Sn,electrical_equipment,0.21632120322472193
1826,ROW,Sn,machinery_and_equipment,0.4571368222143737
1826,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,0.26874936258174265
1826,ROW,Sn,other_transport_equipment,0.07847024398602549
1826,ROW,Sn,products_nec,1.0477652684264764
1827,EU27,Zn,construction,0.7168765052773832
1827,EU27,Zn,computers_and_precision_instruments,0.5509924905959663
1827,EU27,Zn,electrical_equipment,1.2609480641418482
1827,EU27,Zn,machinery_and_equipment,8.242060995252006
1827,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,1.8814229310595145
1827,EU27,Zn,other_transport_equipment,0.5201727279796854
1827,EU27,Zn,products_nec,2.704594984465709
1827,EU27,Ni,construction,0.06759687751977085
1827,EU27,Ni,computers_and_precision_instruments,0.1603823229118666
1827,EU27,Ni,electrical_equipment,0.2871424588238975
1827,EU27,Ni,machinery_and_equipment,2.927954716492926
1827,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.5873426852888106
1827,EU27,Ni,other_transport_equipment,0.11951575151219748
1827,EU27,Ni,products_nec,0.853102854117199
1827,EU27,Sn,construction,0.11083846928142545
1827,EU27,Sn,computers_and_precision_instruments,0.08612079964525625
1827,EU27,Sn,electrical_equipment,0.19676414982862933
1827,EU27,Sn,machinery_and_equipment,1.8072622841592652
1827,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.3753660028305546
1827,EU27,Sn,other_transport_equipment,0.09375744609505038
1827,EU27,Sn,products_nec,0.5326618048021374
1827,CHN,Zn,construction,0.01145740948143923
1827,CHN,Zn,computers_and_precision_instruments,0.18288229025838998
1827,CHN,Zn,electrical_equipment,0.06000006871526855
1827,CHN,Zn,machinery_and_equipment,0.039996276078317926
1827,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.05834512724149461
1827,CHN,Zn,other_transport_equipment,0.006200300311077888
1827,CHN,Zn,products_nec,0.08424744234770772
1827,CHN,Ni,construction,0.000109294694619964
1827,CHN,Ni,computers_and_precision_instruments,0.004445716122204204
1827,CHN,Ni,electrical_equipment,0.000963343888829833
1827,CHN,Ni,machinery_and_equipment,0.0006250771926102971
1827,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0014700506558280413
1827,CHN,Ni,other_transport_equipment,4.4632805801948004e-05
1827,CHN,Ni,products_nec,0.0021395513067723622
1827,CHN,Sn,construction,0.032316734102169536
1827,CHN,Sn,computers_and_precision_instruments,0.10407337447262426
1827,CHN,Sn,electrical_equipment,0.07855922461984922
