candidate_id,utilization_target,eol_outflow_multiplier,refined_export_cap_fraction,new_scrap_fraction_of_demand,mae_i_use,rmse_i_use,mape_i_use,mae_stock,rmse_stock,mape_stock,objective_weighted_mape
72,1.0,1.0,0.17,0.06,1.3245236535603295,5.373099335827766,0.16750166780623565,56.254980855015425,189.45647404428502,0.2778049093894114,0.22265328859782352
69,1.0,1.0,0.15,0.06,1.3281976886394944,5.383890263684937,0.16781675911163355,56.33140407836992,189.69400435732211,0.2780945902808382,0.2229556746962359
66,1.0,1.0,0.13,0.06,1.3329656878292138,5.396663373606743,0.16821792636991093,56.430098610511145,189.98621761186172,0.27846859990763245,0.22334326313877167
71,1.0,1.0,0.17,0.05,1.3431337875012586,5.44284698304669,0.1691388343804105,56.59620751784098,190.48487824428923,0.27922968791050434,0.22418426114545742
68,1.0,1.0,0.15,0.05,1.3471079016314471,5.454214685602677,0.16945918136409538,56.67736822982085,190.7348483911753,0.2795240281278923,0.22449160474599383
63,1.0,0.95,0.17,0.06,1.3327226012968745,5.394954261796813,0.16791130044915553,73.74992367256888,209.36550890544416,0.2815314740431023,0.22472138724612892
65,1.0,1.0,0.13,0.05,1.3518979136906066,5.465738313751625,0.16986220258655654,56.77805276892819,191.03533601179814,0.27989988716390246,0.2248810448752295
60,1.0,0.95,0.15,0.06,1.3366248511956793,5.406183475887403,0.16822850965732772,73.82844389309325,209.58366577204131,0.28183493472386784,0.22503172219059778
57,1.0,0.95,0.13,0.06,1.3413624443468346,5.41812592029334,0.16862859449556067,73.92632292557077,209.84555832838726,0.28222338738261876,0.22542599093908972
70,1.0,1.0,0.17,0.04,1.3626754349327541,5.52003201023266,0.17081410064257518,56.95762747119282,191.53781867002039,0.280691958211634,0.2257530294271046
67,1.0,1.0,0.15,0.04,1.366683768293354,5.530593273995029,0.17114136633769866,57.03978572636387,191.7981472866145,0.28099247108961967,0.22606691871365917
62,1.0,0.95,0.17,0.05,1.3519905690799265,5.472268466155009,0.16957437247400095,74.07735249918562,210.27621717140502,0.2829638856501373,0.22626912906206914
64,1.0,1.0,0.13,0.04,1.371493591020492,5.5451600232407525,0.17154911546373566,57.1412017473186,192.10782544719746,0.2813722734697903,0.22646069446676298
59,1.0,0.95,0.15,0.05,1.3559419044936019,5.4827093064924135,0.16989702638867515,74.15863493266902,210.50369248220562,0.2832736975082268,0.22658536194845097
56,1.0,0.95,0.13,0.05,1.3607430935208067,5.4969934684043,0.1703025058679144,74.25990631221535,210.77724004724547,0.2836683257876455,0.22698541582777995
45,0.95,1.0,0.17,0.06,1.4018436025211607,5.548785097519458,0.17204453305567657,57.62696237554474,192.70559353623545,0.28203439256165946,0.22703946280866802
42,0.95,1.0,0.15,0.06,1.406507772736185,5.563152904684479,0.17240490095814473,57.722261489631535,193.009893067378,0.2823701946736304,0.22738754781588755
39,0.95,1.0,0.13,0.06,1.4121172391815753,5.582443947207888,0.17285236246939956,57.837536377117765,193.36514517736077,0.2827850320554619,0.22781869726243073
