candidate_id,utilization_target,eol_outflow_multiplier,refined_export_cap_fraction,new_scrap_fraction_of_demand,mae_i_use,rmse_i_use,mape_i_use,mae_stock,rmse_stock,mape_stock,objective_weighted_mape
24,1.0,1.0,0.17,0.05,1.3431337875012586,5.44284698304669,0.1691388343804105,56.59620751784098,190.48487824428923,0.27922968791050434,0.22418426114545742
23,1.0,1.0,0.15,0.05,1.3471079016314471,5.454214685602677,0.16945918136409538,56.67736822982085,190.7348483911753,0.2795240281278923,0.22449160474599383
22,1.0,1.0,0.13,0.05,1.3518979136906066,5.465738313751625,0.16986220258655654,56.77805276892819,191.03533601179814,0.27989988716390246,0.2248810448752295
21,1.0,0.95,0.17,0.05,1.3519905690799265,5.472268466155009,0.16957437247400095,74.07735249918562,210.27621717140502,0.2829638856501373,0.22626912906206914
20,1.0,0.95,0.15,0.05,1.3559419044936019,5.4827093064924135,0.16989702638867515,74.15863493266902,210.50369248220562,0.2832736975082268,0.22658536194845097
19,1.0,0.95,0.13,0.05,1.3607430935208067,5.4969934684043,0.1703025058679144,74.25990631221535,210.77724004724547,0.2836683257876455,0.22698541582777995
15,0.95,1.0,0.17,0.05,1.4242569003972019,5.610368224625969,0.17382302089512086,58.02558343111255,193.82264215430365,0.2836407637235626,0.22873189230934174
14,0.95,1.0,0.15,0.05,1.429131020796754,5.621214066487002,0.17419313592162294,58.126398118540386,194.13158304037705,0.28398548062746554,0.22908930827454424
13,0.95,1.0,0.13,0.05,1.4346036428274458,5.639283361263166,0.17464420399643962,58.24156684554192,194.49165043386648,0.2844054079788655,0.22952480598765257
12,0.95,0.95,0.17,0.05,1.4348681292791097,5.631997510648467,0.17429271992134124,75.1445251540072,212.99157304305416,0.2866157650086342,0.23045424246498775
11,0.95,0.95,0.15,0.05,1.439515728761461,5.63812535624433,0.17466053029649958,75.24044772279545,213.26369104238492,0.2869702120438934,0.2308153711701965
10,0.95,0.95,0.13,0.05,1.4451981196273458,5.6541210892430085,0.1751171706102665,75.35802943090549,213.59218508306108,0.2874101302157351,0.2312636504130008
6,0.9,1.0,0.17,0.05,1.7490942183297662,6.7559395846763115,0.17983291801780432,61.35735399968629,198.4871933763411,0.2901617093437902,0.23499731368079727
27,1.0,1.05,0.17,0.05,1.33530267729169,5.422181419431067,0.16874434861989415,79.76565136030129,214.62951642532113,0.3016223470054368,0.23518334781266548
5,0.9,1.0,0.15,0.05,1.7537391470628214,6.748115299072641,0.18028026983740236,61.48136015490687,198.91336111072698,0.29057922254441326,0.2354297461909078
